Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Hydrobates cheimomnestes,Ainley's Storm-petrel,Hydrobatidae (Northern Storm-petrels),VU,,
,Hydrobates leucorhous,Leach's Storm-petrel,Hydrobatidae (Northern Storm-petrels),VU,,
,Hydrobates monorhis,Swinhoe's Storm-petrel,Hydrobatidae (Northern Storm-petrels),NT,,
,Hydrobates macrodactylus,Guadalupe Storm-petrel,Hydrobatidae (Northern Storm-petrels),CR (PE),,
,Hydrobates tristrami,Tristram's Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates furcatus,Fork-tailed Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Diomedea sanfordi,Northern Royal Albatross,Diomedeidae (Albatrosses),EN,,
,Diomedea epomophora,Southern Royal Albatross,Diomedeidae (Albatrosses),VU,,
,Diomedea exulans,Wandering Albatross,Diomedeidae (Albatrosses),VU,,
,Diomedea antipodensis,Antipodean Albatross,Diomedeidae (Albatrosses),EN,,
,Diomedea amsterdamensis,Amsterdam Albatross,Diomedeidae (Albatrosses),EN,,
,Diomedea dabbenena,Tristan Albatross,Diomedeidae (Albatrosses),CR,,
,Phoebetria fusca,Sooty Albatross,Diomedeidae (Albatrosses),EN,,
,Phoebetria palpebrata,Light-mantled Albatross,Diomedeidae (Albatrosses),NT,,
,Phoebastria irrorata,Waved Albatross,Diomedeidae (Albatrosses),CR,,
,Phoebastria immutabilis,Laysan Albatross,Diomedeidae (Albatrosses),NT,,
,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Diomedeidae (Albatrosses),EN,,
,Thalassarche carteri,Indian Yellow-nosed Albatross,Diomedeidae (Albatrosses),EN,,
,Thalassarche chrysostoma,Grey-headed Albatross,Diomedeidae (Albatrosses),EN,,
,Thalassarche melanophris,Black-browed Albatross,Diomedeidae (Albatrosses),LC,,
,Thalassarche cauta,Shy Albatross,Diomedeidae (Albatrosses),NT,,
,Thalassarche steadi,White-capped Albatross,Diomedeidae (Albatrosses),NT,,
,Fulmarus glacialis,Northern Fulmar,"Procellariidae (Petrels, Shearwaters)",LC,,
,Halobaena caerulea,Blue Petrel,"Procellariidae (Petrels, Shearwaters)",LC,,
,Pachyptila vittata,Broad-billed Prion,"Procellariidae (Petrels, Shearwaters)",LC,,
